global_seqlen/max,global_seqlen/min,timing_per_token_ms/values,critic/score/min,"train/action_is_valid/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",actor/ppo_kl,critic/values/mean,"train/collision_count/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",timing_per_token_ms/adv,mfu/actor,critic/kl,critic/values/max,critic/vf_loss,critic/vpred_mean,critic/advantages/mean,response_length/min,timing_s/values,"train/action_is_effective/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",response_length/clip_ratio,timing_s/adv,prompt_length/mean,_timestamp,critic/vf_explained_var,prompt_length/max,timing_per_token_ms/update_actor,"train/total_collisions/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",timing_s/ref,_runtime,timing_per_token_ms/ref,mfu/critic,_step,critic/returns/min,global_seqlen/balanced_max,timing_s/update_actor,actor/pg_loss,critic/rewards/min,critic/returns/max,critic/advantages/max,"train/step/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",critic/rewards/mean,"train/score/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",critic/kl_coeff,timing_s/update_critic,critic/rewards/max,critic/values/min,actor/pg_clipfrac,prompt_length/min,response_length/mean,critic/vf_clipfrac,actor/grad_norm,timing_s/step,critic/grad_norm,critic/advantages/min,global_seqlen/mean,timing_s/gen,actor/entropy_loss,critic/lr,timing_per_token_ms/gen,critic/score/mean,timing_s/old_log_prob,global_seqlen/minmax_diff,"train/done/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",global_seqlen/balanced_min,prompt_length/clip_ratio,"train/success/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",actor/lr,timing_per_token_ms/update_critic,critic/score/max,response_length/max,"train/potential_score/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",critic/returns/mean,"val/action_is_valid/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)","val/step/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)","val/score/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",val/generations,"val/potential_score/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)","val/total_collisions/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)","val/action_is_effective/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)","val/collision_count/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",timing_s/testing,"val/success/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)","val/done/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)"
45487,31784,0.046332366307635625,-2.5372514724731445,0.6385416666666667,0.0,1.8203125,0.33236607142857144,0.007661211595327906,0.29303262808224295,0.003152179066091776,13.75,5.9504289627075195,2.3681640625,0.7372813820838928,121,7.531557805137709,0.49241071428571426,0,1.2453682508785278,3877.5,1773673398.054403,-347.39178466796875,4943,0.20287933028822588,2.5625,14.014122244901955,2854.27734937,0.08621157297469752,0.3495394538419634,1,-2.5369153022766113,41813,32.97904953500256,0.008142207050696015,-2.6243088245391846,0.463742733001709,4.575293064117432,7.6875,-0.21984516084194183,-0.2175063562195796,0.001,21.29790342017077,0.4147114157676697,-12.9375,0.0,1335,1202.34375,0.0,5.809363842010498,1479.257618927164,492.2041320800781,-4.549022197723389,40638.75,1388.892524217954,0.3840719652362168,1e-05,36.09857112977138,-0.21750634908676147,13.286187655990943,13703,0.40625,40028,0,0.0,1e-06,0.13101967592612204,0.46177178621292114,5130,0.2008419593692909,-0.012331666424870491,,,,,,,,,,,
49813,38873,0.04323661489113717,-0.935659646987915,0.63125,0.00028380751064105425,1.6796875,0.22838541666666667,0.006486876358948358,0.35249301599923666,0.009178036823868752,12.75,5.929466485977173,1.52880859375,0.798529326915741,218,7.663517042994499,0.5461433531746032,0,1.1497728871181607,4419.21875,1773674769.1888707,-697.4456176757812,4927,0.13904947368069234,1.96875,8.31854182202369,3798.099534698,0.046932183643206,0.37279081429640665,2,-1.2262296676635742,44706,24.645963012007996,0.02998994040535763,-0.9146312475204468,0.7524452209472656,4.533056735992432,8.90625,-0.08347836136817932,-0.036109534546465656,0.001,21.811139683937654,1.0778617858886719,-8.75,0.003451980810496025,1784,1119.71875,0.3645881190896034,47.416053771972656,1371.1218936131336,310.2322692871094,-4.18212366104126,44311.5,1299.1973027470522,0.45191953983157873,1e-05,36.25902996698535,-0.03610952943563461,8.321633782004938,10940,0.28125,44014,0,0.0,1e-06,0.12305575123804009,0.7542383670806885,5130,0.25085661042604573,-0.006482092197984457,,,,,,,,,,,
44791,33731,0.04587493067925499,-2.7384305000305176,0.8629464285714286,-0.0009681910491963208,-0.64453125,0.31875,0.004985038055980312,0.36533151346657583,0.028782395645976067,11.3125,4.114407688379288,-1.87353515625,-0.6473150849342346,133,7.114834748907015,0.7482886904761905,0,0.7731395221780986,4111.3125,1773675713.011078,-126.52898406982422,4995,0.12479172521446277,3.0625,7.113497800892219,4841.774966247,0.04586631032478928,0.37580028131427756,3,-2.871035099029541,40411,19.35419824696146,-0.01222776435315609,-2.75925612449646,0.9616944789886475,4.182724952697754,8.21875,-0.2811121344566345,-0.12703213807428226,0.001,18.526378466980532,0.5490787029266357,-10.75,0.0031711800256744027,1339,735.3125,0.05182720930315554,5.486494064331055,943.8066916009411,396.8699951171875,-5.584641933441162,38773.0,883.6094402060844,0.4055717047303915,1e-05,37.55246239719866,-0.12703213095664978,7.30056622507982,11060,0.375,38141,0,0.0,1e-06,0.11945412056702172,0.6678427457809448,5130,0.2419990744822621,-0.01675350032746792,,,,,,,,,,,
50863,30626,0.04799688593976801,-6.4923996925354,0.721875,0.00089028524052992,-1.1328125,0.4673115079365079,0.012882244681686611,0.36208836731219596,0.01699152961373329,9.8125,2.6526980102062225,-1.4521484375,-0.8820760250091553,109,7.697356591932476,0.5473710317460319,0,2.065951344091445,3769.0625,1773676756.6861084,-43.222347259521484,5089,0.13102160738782023,3.6875,7.830755192087963,6567.405984262,0.04882869323876963,0.3534858181937434,4,-6.493062496185303,41256,21.012197219999507,0.2929277624934912,-6.343448162078857,1.170379638671875,3.5763049125671387,7.4375,-0.4067433178424835,-0.3289707311590956,0.001,21.358499782858416,0.9929186105728149,-11.5,0.0031319597765104845,1334,1242.5625,0.31164900958538055,4.635130405426025,1043.6550283059478,158.36073684692383,-6.296084880828857,40093.0,976.1753410559613,0.4059392139315605,1e-05,24.550458755997216,-0.32897070050239563,7.496584273176268,20237,0.53125,39629,0,0.0,1e-06,0.13318097786931893,1.1703437566757202,5130,0.2644190023599471,-0.02673003450036049,,,,,,,,,,,
54893,40602,0.0439817943907824,-3.950000047683716,0.49910714285714286,4.572710531647317e-05,0.60546875,0.2958333333333334,0.01328991264183322,0.40701305604343374,0.05601421743631363,9.1875,1.181668981909752,0.607177734375,0.22207196056842804,177,8.760249824961647,0.3904761904761904,0,2.6470715100876987,4282.8125,1773678482.3169374,-86.95496368408203,4985,0.11991349846011383,2.59375,9.296497541014105,8286.315841665,0.04667408482327005,0.4129318370281024,5,-3.9527151584625244,49924,23.88425070978701,0.16218209941871464,-4.2774858474731445,0.48686838150024414,4.2312421798706055,8.59375,-0.5591044425964355,-0.23983051652,0.001,23.08332677395083,0.20220796763896942,-8.875,0.003404575487365946,1778,1941.53125,0.12180568836629391,3.48433780670166,1725.6083283759654,133.3475284576416,-6.538849353790283,49794.75,1648.2897675230633,0.3270124595146626,1e-05,26.530119067151624,-0.23983050882816315,9.62348177516833,14291,0.28125,49642,0,0.0,1e-06,0.11589237205704833,0.48658913373947144,5130,0.2525287903535133,-0.01609242707490921,,,,,,,,,,,
55652,44613,0.038910235580886514,-4.978098392486572,0.5333333333333333,0.0005031132895965129,0.671875,0.4387276785714286,0.010709207323184847,0.4423735010342872,0.028779197484254837,8.125,0.6462820656597614,0.172119140625,0.4902142286300659,235,7.92718229489401,0.40825892857142854,0,2.1817868079524487,4299.0,1773680201.227228,-26.04004669189453,5039,0.10980148511264795,3.53125,8.135219924151897,9767.729079377,0.039931379395041953,0.4484720783173311,6,-5.030580520629883,52066,22.369856561999768,-0.10349779902026057,-5.187397003173828,0.5250478386878967,4.47980260848999,8.625,-0.5118737816810608,-0.33081545070531526,0.001,22.023259084904566,0.38414064049720764,-7.75,0.0035050883889198303,1338,2067.5625,0.1726052425801754,4.001192569732666,1718.8832836989313,112.3211898803711,-9.701988220214844,50932.5,1647.4121708811726,0.35745230154134333,1e-05,24.899673088497515,-0.3308154344558716,8.817384037887678,11039,0.28125,50060,0,0.0,1e-06,0.10810022620578494,0.5255272388458252,5130,0.23854841832586537,-0.026071416214108467,,,,,,,,,,,
50743,41853,0.04250107234881656,-1.6247128248214722,0.6875,-0.00026477520691514655,-0.0615234375,0.25677083333333334,0.008982322170059572,0.3664538415889783,0.02866627275943756,7.78125,0.6247427426278591,-0.184051513671875,-0.0972343385219574,135,7.647345450939611,0.5623511904761904,0,1.616216175025329,4086.0625,1773681682.6405814,-86.79341125488281,4956,0.1285768838279068,2.125,7.3054544809274375,11094.308260576,0.04060097081095428,0.39045452972145805,7,-1.6737658977508545,45063,23.135224437806755,-0.12306724162772298,-2.045289993286133,2.1990933418273926,5.1060872077941895,8.15625,-0.20044739544391632,-0.029260707551928188,0.001,21.652393203927204,1.9579448699951172,-9.125,0.004006467250292189,1338,1536.84375,0.10643803887069225,3.5868680477142334,1481.3945049010217,62.81720161437988,-5.411099910736084,44983.25,1411.7300273389556,0.3775603079702705,1e-05,28.70595228327041,-0.02926069311797619,8.285990133881569,8890,0.40625,44908,0,0.03125,1e-06,0.12033586503824871,2.198861837387085,5130,0.2531286712063266,0.0016557861818000674,,,,,,,,,,,
45293,33715,0.04364176695428157,-2.690913677215576,0.790625,0.0005631425569845305,0.28125,0.3570684523809524,0.008343738754068405,0.3418823224564596,0.035706501454114914,7.53125,0.32166124880313873,-0.05426025390625,0.0392167791724205,127,6.587681079981849,0.6139880952380953,0,1.2594790211878717,3513.78125,1773683009.219803,-71.88931274414062,4953,0.13736718048528782,2.71875,6.814961885800585,11958.458918889,0.04514744639448148,0.3492978571827098,8,-2.6925008296966553,38546,20.73543852707371,0.14790515135973692,-3.0379891395568848,0.908538818359375,5.165725231170654,6.875,-0.2970426082611084,-0.14029816745517584,0.001,19.629565158858895,0.5074349045753479,-8.375,0.0027764691185439005,1331,1203.375,0.0384010374546051,10.662803649902344,1326.567408025032,60.793128967285156,-8.891263961791992,37737.25,1264.473622140009,0.4232291653752327,1e-05,32.83664750545365,-0.14029814302921295,7.051526833092794,11578,0.59375,37367,0,0.0,1e-06,0.13004104140377806,0.6449522972106934,5130,0.28590130497643784,-0.008087999187409878,,,,,,,,,,,
35524,30458,0.046363260308300416,-5.363104343414307,0.928125,-0.0016219657422880118,0.142578125,0.4514136904761905,0.004977535947522348,0.32394897670788886,0.02798345498740673,7.0625,0.28206762205809355,-0.25634765625,-0.03714272752404213,132,6.226864038966596,0.7399553571428572,0,0.6685129429679364,3567.90625,1773683873.370501,-15.624826431274414,4999,0.1361281455852289,3.40625,6.4835614510811865,12934.786565531,0.04827454805504733,0.3359763725434067,9,-5.3636555671691895,35634,18.28282672096975,-0.05103945476002991,-5.537730693817139,1.421474575996399,2.9891369342803955,7.0,-0.36642950773239136,-0.218717692404899,0.001,17.59728334401734,0.5570083260536194,-7.875,0.004244216368533671,1336,629.15625,0.015731776045868173,4.585143566131592,863.5839022740256,56.429182052612305,-7.116673946380615,33576.5,807.4179852779489,0.5014177493285388,1e-05,40.10420629205528,-0.21871769428253174,6.887615309096873,5066,0.625,32772,0,0.0,1e-06,0.13102380641235195,1.0845028162002563,5130,0.21542266227830767,-0.01970936544239521,,,,,,,,,,,
45688,32034,0.0432249265345041,-2.0156683921813965,0.7760416666666667,0.0006254805662138097,0.1103515625,0.3262152777777778,0.006739260180985684,0.36213363799514153,0.025663089007139206,6.84375,0.3427586052566767,0.041290283203125,-0.288896381855011,157,6.60269397799857,0.6360243055555557,0,1.0294354711659253,3792.0,1773684849.6981447,-51.02666473388672,4936,0.1296598304440142,2.78125,6.466661090962589,14075.008862338,0.04233437919609949,0.36749561764650973,10,-2.056563377380371,38235,19.805798419984058,0.2697017025202513,-2.2687034606933594,0.7791907787322998,4.424072265625,7.5,-0.2916813790798187,-0.16973784207696113,0.001,18.64850052795373,0.5427502393722534,-9.0,0.004942282743286341,1342,981.5,0.024431374156847596,4.607900619506836,976.3122979400214,40.853078842163086,-6.293473243713379,38188.0,916.6849704240449,0.46454330906271935,1e-05,29.186352853541926,-0.16973784565925598,7.059806015109643,13654,0.5,38160,0,0.0,1e-06,0.12208351136452374,0.663469672203064,4272,0.2796408692516297,-0.0100342882797122,,,,,,,,,,,
